"Date","Price","Open","High","Low","Vol.","Change %"
"12/17/2021","127.74","128.84","129.00","127.75","","-0.82%"
"12/16/2021","128.80","128.70","129.67","128.44","","0.10%"
"12/15/2021","128.67","128.04","128.84","127.98","","0.52%"
"12/14/2021","128.00","128.17","128.61","127.98","","-0.10%"
"12/13/2021","128.13","128.31","128.49","128.00","","-0.09%"
"12/10/2021","128.24","128.13","128.43","127.81","","0.11%"
"12/09/2021","128.10","128.93","129.09","127.92","","-0.63%"
"12/08/2021","128.91","127.98","129.19","127.81","","0.75%"
"12/07/2021","127.95","128.07","128.50","127.59","","-0.07%"
"12/06/2021","128.04","127.60","128.12","127.51","","0.34%"
"12/03/2021","127.61","127.89","128.37","127.37","","-0.19%"
"12/02/2021","127.85","127.66","128.26","127.54","","0.18%"
"12/01/2021","127.62","128.31","128.82","127.56","","-0.48%"
"11/30/2021","128.24","128.19","128.62","127.60","","0.09%"
"11/29/2021","128.13","128.31","128.77","127.48","","-0.07%"
"11/26/2021","128.22","129.30","129.37","127.80","","-0.80%"
"11/25/2021","129.26","129.28","129.55","129.23","","0.03%"
"11/24/2021","129.22","129.51","129.59","128.69","","-0.19%"
"11/23/2021","129.46","129.09","129.63","128.89","","0.33%"
"11/22/2021","129.03","128.65","129.35","128.55","","0.29%"
"11/19/2021","128.66","129.92","130.00","127.96","","-0.95%"
"11/18/2021","129.89","129.12","129.97","129.07","","0.60%"
"11/17/2021","129.12","130.00","130.10","129.02","","-0.65%"
"11/16/2021","129.96","129.75","130.14","129.64","","0.19%"
"11/15/2021","129.71","130.45","130.63","129.67","","-0.50%"
"11/12/2021","130.36","130.62","130.79","130.24","","-0.18%"
"11/11/2021","130.59","130.80","131.01","130.43","","-0.11%"
"11/10/2021","130.73","130.86","131.45","130.63","","-0.05%"
"11/09/2021","130.80","131.23","131.29","130.66","","-0.30%"
"11/08/2021","131.19","131.22","131.45","130.89","","0.02%"
"11/05/2021","131.16","131.45","131.63","130.82","","-0.20%"
"11/04/2021","131.42","132.37","132.60","131.01","","-0.69%"
"11/03/2021","132.33","131.95","132.44","131.72","","0.31%"
"11/02/2021","131.92","132.30","132.42","131.46","","-0.26%"
"11/01/2021","132.26","131.79","132.47","131.78","","0.35%"
"10/29/2021","131.80","132.66","132.94","131.59","","-0.63%"
"10/28/2021","132.63","132.10","132.73","131.55","","0.42%"
"10/27/2021","132.07","132.38","132.54","131.57","","-0.19%"
"10/26/2021","132.32","132.00","132.69","131.95","","0.27%"
"10/25/2021","131.96","132.33","132.63","131.85","","-0.14%"
"10/22/2021","132.15","132.49","132.82","131.90","","-0.22%"
"10/21/2021","132.44","133.13","133.39","132.25","","-0.50%"
"10/20/2021","133.10","133.06","133.50","132.73","","0.06%"
"10/19/2021","133.02","132.74","133.22","132.60","","0.24%"
"10/18/2021","132.70","132.51","132.82","132.13","","0.17%"
"10/15/2021","132.47","131.82","132.81","131.80","","0.52%"
"10/14/2021","131.78","131.32","131.88","131.26","","0.40%"
"10/13/2021","131.26","130.99","131.49","130.87","","0.24%"
"10/12/2021","130.95","130.94","131.30","130.74","","0.06%"
"10/11/2021","130.87","129.95","131.25","129.76","","0.82%"
"10/08/2021","129.80","128.95","129.94","128.91","","0.71%"
"10/07/2021","128.89","128.77","129.05","128.62","","0.11%"
"10/06/2021","128.75","129.29","129.52","128.32","","-0.38%"
"10/05/2021","129.24","128.93","129.41","128.75","","0.28%"
"10/04/2021","128.88","128.76","129.40","128.51","","0.10%"
"10/01/2021","128.75","128.89","129.07","128.54","","-0.09%"
"09/30/2021","128.86","129.84","129.98","128.78","","-0.74%"
"09/29/2021","129.82","130.26","130.49","129.67","","-0.32%"
"09/28/2021","130.24","129.83","130.41","129.66","","0.35%"
"09/27/2021","129.78","129.82","129.95","129.47","","0.07%"
"09/24/2021","129.69","129.50","129.87","129.37","","0.19%"
"09/23/2021","129.45","128.31","129.57","128.26","","0.90%"
"09/22/2021","128.29","128.08","128.82","127.92","","0.20%"
"09/21/2021","128.03","128.28","128.72","127.98","","-0.18%"
"09/20/2021","128.26","128.97","129.05","128.13","","-0.52%"
"09/17/2021","128.93","129.05","129.69","128.89","","-0.09%"
"09/16/2021","129.05","129.25","129.39","128.60","","-0.12%"
"09/15/2021","129.21","129.49","129.57","129.04","","-0.17%"
"09/14/2021","129.43","129.93","130.22","129.36","","-0.33%"
"09/13/2021","129.86","129.87","129.96","129.58","","-0.01%"
"09/10/2021","129.87","129.75","130.30","129.68","","0.12%"
"09/09/2021","129.72","130.28","130.36","129.66","","-0.38%"
"09/08/2021","130.21","130.59","130.72","130.17","","-0.25%"
"09/07/2021","130.54","130.39","130.68","130.29","","0.15%"
"09/06/2021","130.35","130.41","130.53","130.24","","-0.02%"
"09/03/2021","130.38","130.57","130.78","130.18","","-0.10%"
"09/02/2021","130.51","130.26","130.62","130.15","","0.23%"
"09/01/2021","130.21","129.93","130.47","129.87","","0.24%"
"08/31/2021","129.90","129.69","130.22","129.58","","0.19%"
"08/30/2021","129.65","129.56","129.73","129.47","","0.11%"
"08/27/2021","129.51","129.37","129.78","129.14","","0.14%"
"08/26/2021","129.33","129.52","129.79","129.22","","-0.09%"
"08/25/2021","129.45","128.87","129.56","128.75","","0.47%"
"08/24/2021","128.84","128.85","129.06","128.58","","0.03%"
"08/23/2021","128.80","128.41","129.16","128.31","","0.30%"
"08/20/2021","128.42","128.14","128.55","127.93","","0.26%"
"08/19/2021","128.09","128.55","128.73","127.92","","-0.33%"
"08/18/2021","128.51","128.32","128.99","128.22","","0.16%"
"08/17/2021","128.30","128.65","128.89","128.25","","-0.26%"
"08/16/2021","128.64","129.24","129.44","128.49","","-0.43%"
"08/13/2021","129.19","129.48","129.71","129.22","","-0.22%"
"08/12/2021","129.48","129.60","129.72","129.39","","-0.08%"
"08/11/2021","129.58","129.59","129.87","129.51","","0.02%"
"08/10/2021","129.55","129.46","129.70","129.39","","0.08%"
"08/09/2021","129.44","129.69","129.81","129.38","","-0.16%"
"08/06/2021","129.65","129.88","129.98","129.43","","-0.15%"
"08/05/2021","129.84","129.60","130.04","129.55","","0.22%"
"08/04/2021","129.56","129.38","129.86","129.13","","0.19%"
"08/03/2021","129.32","129.72","129.90","129.17","","-0.28%"
"08/02/2021","129.68","130.17","130.45","129.59","","-0.41%"
"07/30/2021","130.21","130.14","130.51","130.01","","0.07%"
"07/29/2021","130.12","130.19","130.57","129.89","","-0.02%"
"07/28/2021","130.14","129.72","130.26","129.61","","0.36%"
"07/27/2021","129.67","130.23","130.38","129.53","","-0.40%"
"07/26/2021","130.19","130.17","130.36","129.67","","0.06%"
"07/23/2021","130.11","129.66","130.20","129.56","","0.37%"
"07/22/2021","129.63","130.12","130.32","129.47","","-0.31%"
"07/21/2021","130.03","129.43","130.20","129.13","","0.50%"
"07/20/2021","129.38","129.17","129.50","128.58","","0.20%"
"07/19/2021","129.12","130.00","130.03","128.88","","-0.59%"
"07/16/2021","129.89","129.81","130.30","129.63","","0.09%"
"07/15/2021","129.77","130.21","130.26","129.60","","-0.28%"
"07/14/2021","130.13","130.27","130.45","130.01","","-0.08%"
"07/13/2021","130.24","130.93","131.12","130.20","","-0.47%"
"07/12/2021","130.86","130.76","131.01","130.45","","0.07%"
"07/09/2021","130.77","130.05","130.89","129.93","","0.58%"
"07/08/2021","130.01","130.49","130.57","129.62","","-0.32%"
"07/07/2021","130.43","130.82","131.05","130.41","","-0.26%"
"07/06/2021","130.77","131.65","131.89","130.60","","-0.64%"
"07/05/2021","131.61","131.72","131.88","131.53","","-0.06%"
"07/02/2021","131.69","132.17","132.26","131.66","","-0.33%"
"07/01/2021","132.12","131.74","132.45","131.55","","0.31%"
"06/30/2021","131.71","131.49","131.80","131.26","","0.21%"
"06/29/2021","131.44","131.94","132.02","131.25","","-0.35%"
"06/28/2021","131.90","132.19","132.37","131.77","","-0.21%"
"06/25/2021","132.18","132.30","132.49","132.12","","-0.06%"
"06/24/2021","132.26","132.35","132.60","132.10","","-0.03%"
"06/23/2021","132.30","132.11","132.72","132.01","","0.17%"
"06/22/2021","132.08","131.46","132.21","131.21","","0.51%"
"06/21/2021","131.41","130.86","131.51","130.03","","0.55%"
"06/18/2021","130.69","131.22","131.45","130.60","","-0.38%"
"06/17/2021","131.19","132.78","132.91","131.01","","-1.18%"
"06/16/2021","132.76","133.48","133.61","132.67","","-0.52%"
"06/15/2021","133.45","133.39","133.70","133.26","","0.07%"
"06/14/2021","133.36","132.82","133.46","132.63","","0.47%"
"06/11/2021","132.74","133.06","133.46","132.64","","-0.21%"
"06/10/2021","133.02","133.53","133.78","133.03","","-0.34%"
"06/09/2021","133.48","133.30","133.65","133.19","","0.17%"
"06/08/2021","133.26","133.18","133.45","133.12","","0.08%"
"06/07/2021","133.15","133.24","133.41","132.88","","-0.03%"
"06/04/2021","133.19","133.78","133.84","133.13","","-0.38%"
"06/03/2021","133.70","133.77","133.94","133.62","","-0.03%"
"06/02/2021","133.74","133.70","134.11","133.63","","0.07%"
"06/01/2021","133.65","133.95","134.16","133.69","","-0.22%"
"05/31/2021","133.95","133.91","134.05","133.65","","0.00%"
"05/28/2021","133.95","133.90","134.03","133.60","","0.06%"
"05/27/2021","133.87","133.07","134.08","132.92","","0.62%"
"05/26/2021","133.04","133.26","133.44","132.98","","-0.14%"
"05/25/2021","133.23","132.81","133.63","132.81","","0.33%"
"05/24/2021","132.79","132.67","133.07","132.50","","0.08%"
"05/21/2021","132.68","133.01","133.23","132.51","","-0.21%"
"05/20/2021","132.96","132.94","133.12","132.70","","0.02%"
"05/19/2021","132.93","133.08","133.47","132.63","","-0.09%"
"05/18/2021","133.05","132.72","133.20","132.68","","0.28%"
"05/17/2021","132.68","132.71","132.98","132.50","","-0.05%"
"05/14/2021","132.74","132.23","132.87","132.17","","0.42%"
"05/13/2021","132.19","132.38","132.75","132.01","","-0.13%"
"05/12/2021","132.36","131.95","132.47","131.55","","0.34%"
"05/11/2021","131.91","131.97","132.50","131.78","","-0.02%"
"05/10/2021","131.94","132.04","132.56","131.95","","-0.11%"
"05/07/2021","132.09","131.63","132.21","131.47","","0.39%"
"05/06/2021","131.58","131.09","131.87","131.03","","0.39%"
"05/05/2021","131.07","131.36","131.48","130.98","","-0.21%"
"05/04/2021","131.34","131.59","131.67","131.13","","-0.15%"
"05/03/2021","131.54","131.34","132.18","131.31","","0.17%"
"04/30/2021","131.32","132.01","132.20","131.35","","-0.50%"
"04/29/2021","131.98","131.67","132.40","131.58","","0.26%"
"04/28/2021","131.64","131.43","131.82","131.34","","0.20%"
"04/27/2021","131.38","130.58","131.51","130.56","","0.64%"
"04/26/2021","130.55","130.66","130.78","130.20","","-0.01%"
"04/23/2021","130.56","129.73","130.59","129.58","","0.66%"
"04/22/2021","129.71","130.07","130.49","129.66","","-0.26%"
"04/21/2021","130.05","130.11","130.17","129.63","","0.00%"
"04/20/2021","130.05","130.19","131.01","129.98","","-0.07%"
"04/19/2021","130.14","130.36","130.37","129.69","","-0.15%"
"04/16/2021","130.34","130.17","130.56","129.96","","0.18%"
"04/15/2021","130.11","130.50","130.60","130.01","","-0.26%"
"04/14/2021","130.45","130.31","130.61","130.03","","0.13%"
"04/13/2021","130.28","130.29","130.52","129.78","","0.02%"
"04/12/2021","130.25","130.54","130.64","129.87","","-0.18%"
"04/09/2021","130.49","130.16","130.57","130.04","","0.28%"
"04/08/2021","130.13","130.37","130.50","129.56","","-0.19%"
"04/07/2021","130.38","130.33","130.70","130.13","","0.05%"
"04/06/2021","130.32","130.17","130.59","129.80","","0.15%"
"04/05/2021","130.12","130.21","130.28","129.82","","-0.05%"
"04/02/2021","130.18","130.27","130.35","130.02","","-0.04%"
"04/01/2021","130.23","129.88","130.30","129.64","","0.31%"
"03/31/2021","129.83","129.31","130.07","129.25","","0.45%"
"03/30/2021","129.25","129.16","129.57","129.11","","0.10%"
"03/29/2021","129.12","129.31","129.45","128.82","","-0.13%"
"03/26/2021","129.29","128.44","129.48","128.42","","0.67%"
"03/25/2021","128.43","128.45","128.97","128.38","","0.01%"
"03/24/2021","128.42","128.70","128.89","128.28","","-0.16%"
"03/23/2021","128.63","129.91","129.94","128.59","","-0.95%"
"03/22/2021","129.87","129.54","129.95","128.89","","0.22%"
"03/19/2021","129.59","129.75","130.01","129.31","","-0.11%"
"03/18/2021","129.73","130.38","130.69","129.59","","-0.48%"
"03/17/2021","130.36","129.73","130.47","129.68","","0.52%"
"03/16/2021","129.69","130.20","130.42","129.48","","-0.36%"
"03/15/2021","130.16","130.36","130.51","129.97","","-0.09%"
"03/12/2021","130.28","130.02","130.41","129.81","","0.21%"
"03/11/2021","130.01","129.28","130.07","129.23","","0.61%"
"03/10/2021","129.22","129.08","129.45","129.01","","0.13%"
"03/09/2021","129.05","129.00","129.57","128.92","","0.10%"
"03/08/2021","128.92","129.14","129.41","128.77","","-0.15%"
"03/05/2021","129.11","129.23","129.60","128.85","","-0.07%"
"03/04/2021","129.20","129.09","129.66","128.90","","0.12%"
"03/03/2021","129.05","129.00","129.48","128.73","","0.08%"
"03/02/2021","128.95","128.64","129.10","128.16","","0.27%"
"03/01/2021","128.60","128.73","128.96","128.20","","-0.06%"
"02/26/2021","128.68","129.35","129.56","128.55","","-0.49%"
"02/25/2021","129.32","128.80","130.00","128.75","","0.45%"
"02/24/2021","128.74","127.88","128.89","127.76","","0.69%"
"02/23/2021","127.86","127.73","128.08","127.64","","0.13%"
"02/22/2021","127.69","127.73","128.26","127.46","","-0.05%"
"02/19/2021","127.75","127.79","128.20","127.64","","0.02%"
"02/18/2021","127.72","127.45","127.83","127.32","","0.24%"
"02/17/2021","127.42","128.39","128.47","127.29","","-0.73%"
"02/16/2021","128.36","127.81","128.41","127.72","","0.45%"
"02/15/2021","127.78","127.25","127.98","127.19","","0.50%"
"02/12/2021","127.15","127.05","127.33","126.97","","0.10%"
"02/11/2021","127.02","126.75","127.19","126.69","","0.25%"
"02/10/2021","126.70","126.76","127.09","126.63","","-0.01%"
"02/09/2021","126.71","126.78","126.89","126.42","","-0.05%"
"02/08/2021","126.77","126.93","127.15","126.63","","-0.08%"
"02/05/2021","126.87","126.24","127.02","126.15","","0.49%"
"02/04/2021","126.25","126.40","126.49","126.09","","-0.09%"
"02/03/2021","126.36","126.44","126.55","126.12","","-0.02%"
"02/02/2021","126.39","126.53","126.85","126.24","","-0.09%"
"02/01/2021","126.51","127.08","127.24","126.50","","-0.42%"
"01/29/2021","127.04","126.37","127.36","126.29","","0.58%"
"01/28/2021","126.31","126.07","126.69","125.97","","0.21%"
"01/27/2021","126.05","126.00","126.23","125.58","","0.07%"
"01/26/2021","125.96","125.93","126.18","125.68","","0.05%"
"01/25/2021","125.90","126.31","126.40","125.79","","-0.29%"
"01/22/2021","126.26","125.90","126.44","125.84","","0.32%"
"01/21/2021","125.86","125.35","125.99","125.29","","0.45%"
"01/20/2021","125.30","126.02","126.20","125.25","","-0.54%"
"01/19/2021","125.98","125.25","126.23","125.19","","0.61%"
"01/18/2021","125.22","125.55","125.56","125.07","","-0.18%"
"01/15/2021","125.45","126.17","126.23","125.40","","-0.57%"
"01/14/2021","126.17","126.31","126.55","125.92","","-0.06%"
"01/13/2021","126.25","126.68","126.74","126.20","","-0.30%"
"01/12/2021","126.63","126.69","126.89","126.53","","-0.02%"
"01/11/2021","126.65","126.99","127.11","126.54","","-0.26%"
"01/08/2021","126.98","127.41","127.48","126.80","","-0.30%"
"01/07/2021","127.36","127.03","127.52","126.90","","0.28%"
"01/06/2021","127.00","126.30","127.26","126.13","","0.57%"
"01/05/2021","126.28","126.32","126.59","126.04","","0.00%"
"01/04/2021","126.28","126.24","126.82","126.09","","0.82%"
"01/01/2021","125.25","126.13","126.15","125.28","","-0.67%"
"12/31/2020","126.09","126.89","127.00","126.07","","-0.60%"
"12/30/2020","126.85","126.86","127.15","126.45","","0.02%"
"12/29/2020","126.83","126.81","127.20","126.65","","0.05%"
"12/28/2020","126.77","126.29","126.98","126.04","","0.38%"
"12/25/2020","126.29","126.31","126.44","125.87","","0.02%"
"12/24/2020","126.27","126.23","126.53","126.15","","0.07%"
"12/23/2020","126.18","126.06","126.42","125.92","","0.13%"
"12/22/2020","126.02","126.50","126.68","125.99","","-0.34%"
"12/21/2020","126.45","126.47","126.63","125.90","","-0.13%"
"12/18/2020","126.61","126.51","127.04","126.37","","0.12%"
"12/17/2020","126.46","126.25","126.54","126.00","","0.20%"
"12/16/2020","126.21","125.99","126.37","125.71","","0.20%"
"12/15/2020","125.96","126.36","126.61","125.93","","-0.28%"
"12/14/2020","126.32","126.18","126.54","125.91","","0.28%"
"12/11/2020","125.97","126.50","126.64","125.78","","-0.39%"
"12/10/2020","126.46","125.93","126.77","125.85","","0.45%"
"12/09/2020","125.89","126.07","126.55","125.77","","-0.11%"
"12/08/2020","126.03","126.01","126.30","125.84","","0.05%"
"12/07/2020","125.97","126.29","126.51","125.95","","-0.20%"
"12/04/2020","126.22","126.12","126.71","126.03","","0.12%"
"12/03/2020","126.07","126.50","126.68","126.02","","-0.31%"
"12/02/2020","126.46","125.92","126.58","125.76","","0.45%"
"12/01/2020","125.89","124.45","125.99","124.38","","1.22%"
"11/30/2020","124.37","124.43","125.15","124.27","","-0.12%"
"11/27/2020","124.52","124.20","124.58","123.88","","0.27%"
"11/26/2020","124.18","124.46","124.60","123.90","","-0.20%"
"11/25/2020","124.43","124.19","124.54","124.13","","0.21%"
"11/24/2020","124.17","123.82","124.39","123.66","","0.32%"
"11/23/2020","123.78","123.14","123.85","122.96","","0.56%"
"11/20/2020","123.09","123.19","123.50","122.99","","-0.05%"
"11/19/2020","123.15","123.06","123.35","122.83","","0.07%"
"11/18/2020","123.06","123.61","123.70","123.00","","-0.40%"
"11/17/2020","123.56","123.97","124.04","123.51","","-0.30%"
"11/16/2020","123.93","123.76","124.47","123.62","","0.11%"
"11/13/2020","123.79","124.12","124.34","123.65","","-0.25%"
"11/12/2020","124.10","124.17","124.53","123.67","","-0.04%"
"11/11/2020","124.15","124.37","124.70","123.91","","-0.18%"
"11/10/2020","124.38","124.48","124.64","123.96","","-0.05%"
"11/09/2020","124.44","122.78","125.17","122.68","","1.44%"
"11/06/2020","122.67","122.40","123.01","122.21","","0.22%"
"11/05/2020","122.40","122.59","123.20","122.19","","-0.07%"
"11/04/2020","122.49","122.40","123.10","121.96","","0.13%"
"11/03/2020","122.33","121.89","122.79","121.81","","0.38%"
"11/02/2020","121.87","122.01","122.18","121.69","","0.00%"
"10/30/2020","121.87","122.16","122.48","121.60","","-0.20%"
"10/29/2020","122.12","122.51","122.89","121.88","","-0.33%"
"10/28/2020","122.52","123.18","123.23","122.17","","-0.50%"
"10/27/2020","123.14","123.80","124.03","123.14","","-0.51%"
"10/26/2020","123.77","124.21","124.24","123.77","","-0.31%"
"10/23/2020","124.15","123.90","124.29","123.40","","0.23%"
"10/22/2020","123.87","124.04","124.11","123.65","","-0.11%"
"10/21/2020","124.01","124.73","124.87","123.90","","-0.55%"
"10/20/2020","124.69","124.07","125.03","124.01","","0.52%"
"10/19/2020","124.04","123.57","124.36","123.35","","0.43%"
"10/16/2020","123.51","123.47","123.74","123.10","","0.06%"
"10/15/2020","123.43","123.50","123.79","123.01","","-0.06%"
"10/14/2020","123.51","123.92","123.98","123.45","","-0.27%"
"10/13/2020","123.85","124.44","124.50","123.79","","-0.43%"
"10/12/2020","124.39","124.90","125.17","124.27","","-0.37%"
"10/09/2020","124.85","124.69","125.11","124.50","","0.16%"
"10/08/2020","124.65","124.64","124.90","124.35","","0.03%"
"10/07/2020","124.61","123.95","124.91","123.85","","0.56%"
"10/06/2020","123.91","124.59","124.75","123.84","","-0.51%"
"10/05/2020","124.55","123.40","124.74","123.29","","0.97%"
"10/02/2020","123.35","123.98","124.05","123.01","","-0.47%"
"10/01/2020","123.93","123.60","124.23","123.56","","0.33%"
"09/30/2020","123.52","124.07","124.27","123.52","","-0.42%"
"09/29/2020","124.04","123.08","124.15","123.01","","0.81%"
"09/28/2020","123.04","122.92","123.23","122.37","","0.19%"
"09/25/2020","122.81","123.03","123.18","122.60","","-0.17%"
"09/24/2020","123.02","122.89","123.19","122.57","","0.14%"
"09/23/2020","122.85","122.85","123.22","122.57","","0.02%"
"09/22/2020","122.82","123.18","123.31","122.64","","-0.27%"
"09/21/2020","123.15","123.89","123.96","122.50","","-0.49%"
"09/18/2020","123.76","124.10","124.32","123.42","","-0.25%"
"09/17/2020","124.07","124.01","124.15","123.28","","0.07%"
"09/16/2020","123.98","124.91","125.04","123.82","","-0.70%"
"09/15/2020","124.85","125.49","125.80","124.74","","-0.49%"
"09/14/2020","125.47","125.80","125.93","125.27","","-0.22%"
"09/11/2020","125.75","125.39","126.15","125.34","","0.30%"
"09/10/2020","125.37","125.35","126.48","125.28","","0.06%"
"09/09/2020","125.30","124.92","125.67","124.42","","0.37%"
"09/08/2020","124.84","125.57","125.68","124.69","","-0.57%"
"09/07/2020","125.56","125.72","125.96","125.51","","-0.14%"
"09/04/2020","125.74","125.84","126.01","125.29","","-0.05%"
"09/03/2020","125.80","125.85","126.05","125.27","","-0.05%"
"09/02/2020","125.86","126.23","126.34","125.53","","-0.26%"
"09/01/2020","126.19","126.41","127.09","126.12","","-0.16%"
"08/31/2020","126.39","125.36","126.87","125.36","","0.80%"
"08/28/2020","125.39","125.98","126.79","125.19","","-0.44%"
"08/27/2020","125.95","125.40","126.12","125.12","","0.47%"
"08/26/2020","125.36","125.92","126.16","125.25","","-0.41%"
"08/25/2020","125.88","124.93","126.06","124.91","","0.78%"
"08/24/2020","124.91","124.84","125.37","124.68","","0.11%"
"08/21/2020","124.77","125.47","125.57","124.43","","-0.55%"
"08/20/2020","125.46","125.62","125.81","125.07","","-0.10%"
"08/19/2020","125.58","125.79","126.09","125.36","","-0.13%"
"08/18/2020","125.74","125.83","126.12","125.33","","-0.05%"
"08/17/2020","125.80","126.24","126.48","125.66","","-0.32%"
"08/14/2020","126.21","126.30","126.49","125.74","","-0.06%"
"08/13/2020","126.29","125.95","126.77","125.89","","0.28%"
"08/12/2020","125.94","125.05","126.24","124.94","","0.75%"
"08/11/2020","125.00","124.37","125.52","124.32","","0.53%"
"08/10/2020","124.34","124.87","124.95","124.32","","-0.39%"
"08/07/2020","124.83","125.36","125.42","124.45","","-0.40%"
"08/06/2020","125.33","125.26","125.65","124.64","","0.09%"
"08/05/2020","125.22","124.78","125.54","124.62","","0.38%"
"08/04/2020","124.74","124.66","125.03","124.24","","0.11%"
"08/03/2020","124.60","124.78","125.08","124.00","","-0.05%"
"07/31/2020","124.66","124.04","125.26","123.83","","0.49%"
"07/30/2020","124.05","123.72","124.22","123.32","","0.29%"
"07/29/2020","123.69","123.13","123.83","123.01","","0.49%"
"07/28/2020","123.09","123.85","124.01","123.00","","-0.59%"
"07/27/2020","123.82","123.61","123.93","123.21","","0.13%"
"07/24/2020","123.66","123.93","123.99","122.82","","-0.18%"
"07/23/2020","123.88","123.98","124.27","123.69","","-0.05%"
"07/22/2020","123.94","123.10","124.30","123.04","","0.70%"
"07/21/2020","123.08","122.77","123.19","122.45","","0.29%"
"07/20/2020","122.73","122.15","123.00","122.12","","0.39%"
"07/17/2020","122.25","122.11","122.60","121.92","","0.13%"
"07/16/2020","122.09","122.03","122.54","121.81","","0.09%"
"07/15/2020","121.98","122.26","122.52","121.81","","-0.18%"
"07/14/2020","122.20","121.70","122.36","121.46","","0.44%"
"07/13/2020","121.67","120.89","121.99","120.77","","0.75%"
"07/10/2020","120.76","120.98","121.09","120.26","","-0.16%"
"07/09/2020","120.95","121.52","122.00","120.89","","-0.45%"
"07/08/2020","121.50","121.21","121.91","121.13","","0.28%"
"07/07/2020","121.16","121.41","121.74","121.17","","-0.19%"
"07/06/2020","121.39","120.94","122.00","120.85","","0.39%"
"07/03/2020","120.92","120.83","121.00","120.60","","0.10%"
"07/02/2020","120.80","120.93","121.46","120.74","","-0.07%"
"07/01/2020","120.89","121.24","121.50","120.26","","-0.26%"
"06/30/2020","121.20","120.93","121.47","120.57","","0.25%"
"06/29/2020","120.90","120.33","121.38","120.17","","0.53%"
"06/26/2020","120.26","120.28","120.41","119.79","","0.03%"
"06/25/2020","120.22","120.43","120.65","120.14","","-0.16%"
"06/24/2020","120.41","120.46","120.77","120.04","","-0.01%"
"06/23/2020","120.42","120.35","121.13","119.90","","0.09%"
"06/22/2020","120.31","119.64","120.46","119.29","","0.74%"
"06/19/2020","119.43","119.85","120.24","119.37","","-0.33%"
"06/18/2020","119.82","120.32","120.56","119.58","","-0.40%"
"06/17/2020","120.30","120.90","121.26","120.15","","-0.46%"
"06/16/2020","120.86","121.54","122.14","120.47","","-0.52%"
"06/15/2020","121.49","120.74","121.66","120.32","","0.57%"
"06/12/2020","120.80","120.74","121.83","120.25","","0.07%"
"06/11/2020","120.71","121.82","121.93","120.64","","-0.85%"
"06/10/2020","121.75","122.19","122.40","121.57","","-0.30%"
"06/09/2020","122.12","122.48","122.62","121.32","","-0.25%"
"06/08/2020","122.43","123.72","124.14","122.21","","-0.99%"
"06/05/2020","123.65","123.73","124.46","123.52","","-0.05%"
"06/04/2020","123.71","122.34","123.99","121.84","","1.14%"
"06/03/2020","122.31","121.41","122.63","121.25","","0.78%"
"06/02/2020","121.36","119.80","121.65","119.61","","1.32%"
"06/01/2020","119.78","119.60","120.01","119.41","","0.12%"
"05/29/2020","119.64","119.25","119.93","118.86","","0.34%"
"05/28/2020","119.23","118.54","119.42","118.47","","0.61%"
"05/27/2020","118.51","118.12","118.93","117.69","","0.38%"
"05/26/2020","118.06","117.40","118.36","117.32","","0.59%"
"05/25/2020","117.37","117.31","117.58","117.07","","0.08%"
"05/22/2020","117.28","117.84","118.06","116.98","","-0.46%"
"05/21/2020","117.82","118.02","118.54","117.72","","-0.16%"
"05/20/2020","118.01","117.70","118.23","117.58","","0.35%"
"05/19/2020","117.60","117.13","118.25","117.02","","0.44%"
"05/18/2020","117.09","115.77","117.27","115.69","","1.17%"
"05/15/2020","115.74","115.89","116.24","115.47","","-0.10%"
"05/14/2020","115.86","115.79","115.96","115.31","","0.10%"
"05/13/2020","115.75","116.23","116.43","115.68","","-0.38%"
"05/12/2020","116.19","116.37","116.86","115.95","","-0.13%"
"05/11/2020","116.34","115.60","116.54","115.35","","0.63%"
"05/08/2020","115.61","115.15","115.77","115.03","","0.43%"
"05/07/2020","115.11","114.54","115.16","114.44","","0.47%"
"05/06/2020","114.57","115.56","115.62","114.43","","-0.80%"
"05/05/2020","115.49","116.43","116.59","115.40","","-0.78%"
"05/04/2020","116.40","117.46","117.46","116.25","","-0.83%"
"05/01/2020","117.37","117.43","117.78","117.00","","-0.03%"
"04/30/2020","117.40","116.02","117.81","115.54","","1.20%"
"04/29/2020","116.01","115.64","116.10","115.44","","0.35%"
"04/28/2020","115.60","116.13","116.29","115.59","","-0.43%"
"04/27/2020","116.10","116.25","116.54","116.04","","-0.19%"
"04/24/2020","116.32","115.97","116.45","115.54","","0.34%"
"04/23/2020","115.93","116.63","116.86","115.64","","-0.55%"
"04/22/2020","116.57","117.01","117.25","116.43","","-0.35%"
"04/21/2020","116.98","116.90","117.19","116.21","","0.08%"
"04/20/2020","116.89","116.93","117.31","116.83","","0.01%"
"04/17/2020","116.88","116.97","117.43","116.60","","-0.06%"
"04/16/2020","116.95","117.27","117.52","116.54","","-0.23%"
"04/15/2020","117.22","117.73","117.82","116.78","","-0.40%"
"04/14/2020","117.69","117.64","117.96","117.29","","0.09%"
"04/13/2020","117.59","118.65","118.78","117.29","","-0.82%"
"04/10/2020","118.56","118.57","118.78","118.40","","0.04%"
"04/09/2020","118.51","118.15","119.04","118.07","","0.33%"
"04/08/2020","118.12","118.43","118.72","117.91","","-0.23%"
